name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,173656,45410,Python,Significant-Gravitas,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",2025-03-21T16:28:18Z,2023-03-16T09:21:07Z,185
DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,92751,15076,Python,deepseek-ai,,2025-03-16T15:42:21Z,2024-12-26T09:52:40Z,100
ComfyUI,https://github.com/comfyanonymous/ComfyUI,71810,7782,Python,comfyanonymous,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",2025-03-21T20:24:13Z,2023-01-17T03:15:56Z,2062
screenshot-to-code,https://github.com/abi/screenshot-to-code,69167,8520,Python,abi,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue),2025-03-20T20:21:57Z,2023-11-14T17:53:32Z,97
gpt_academic,https://github.com/binary-husky/gpt_academic,67974,8330,Python,binary-husky,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。",2025-03-10T15:44:57Z,2023-03-20T09:05:13Z,249
gpt4free,https://github.com/xtekky/gpt4free,63858,13577,Python,xtekky,"The official gpt4free repository | various collection of powerful language models | o3 and deepseek r1, gpt-4.5",2025-03-21T05:02:37Z,2023-03-29T17:00:43Z,10
open-interpreter,https://github.com/OpenInterpreter/open-interpreter,58859,5019,Python,OpenInterpreter,A natural language interface for computers,2025-01-24T13:02:04Z,2023-07-14T07:10:44Z,215
llama,https://github.com/meta-llama/llama,57913,9718,Python,meta-llama,Inference code for Llama models,2025-01-26T21:42:26Z,2023-02-14T09:29:12Z,424
private-gpt,https://github.com/zylon-ai/private-gpt,55483,7434,Python,zylon-ai,"Interact with your documents using the power of GPT, 100% privately, no data leaks",2024-11-13T19:30:32Z,2023-05-02T09:15:31Z,243
gpt-engineer,https://github.com/AntonOsika/gpt-engineer,53458,7004,Python,AntonOsika,CLI platform to experiment with codegen. Precursor to: https://lovable.dev,2024-11-17T22:47:32Z,2023-04-29T12:52:15Z,22
MetaGPT,https://github.com/geekan/MetaGPT,53159,6293,Python,geekan,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",2025-03-19T12:58:01Z,2023-06-30T09:04:55Z,57
langflow,https://github.com/langflow-ai/langflow,52452,5756,Python,langflow-ai,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,2025-03-21T20:33:13Z,2023-02-08T22:28:03Z,356
OpenHands,https://github.com/All-Hands-AI/OpenHands,50993,5625,Python,All-Hands-AI,"🙌 OpenHands: Code Less, Make More",2025-03-21T20:35:46Z,2024-03-13T03:33:31Z,254
grok-1,https://github.com/xai-org/grok-1,50247,8362,Python,xai-org,Grok open release,2024-08-30T04:17:25Z,2024-03-17T08:53:38Z,80
browser-use,https://github.com/browser-use/browser-use,46826,4838,Python,browser-use,Make websites accessible for AI agents,2025-03-20T21:38:28Z,2024-10-31T16:00:56Z,338
LLaMA-Factory,https://github.com/hiyouga/LLaMA-Factory,44936,5493,Python,hiyouga,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),2025-03-21T02:56:48Z,2023-05-28T10:09:12Z,393
Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,44925,6735,Python,hacksider,real time face swap and one-click video deepfake with only a single image,2025-03-18T21:30:33Z,2023-09-24T13:19:31Z,16
Fooocus,https://github.com/lllyasviel/Fooocus,43917,6670,Python,lllyasviel,Focus on prompting and generating,2025-01-24T10:55:35Z,2023-08-09T18:43:40Z,203
GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,42868,4777,Python,RVC-Boss,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),2025-03-05T10:22:01Z,2024-01-14T18:05:21Z,747
vllm,https://github.com/vllm-project/vllm,42258,6385,Python,vllm-project,A high-throughput and memory-efficient inference and serving engine for LLMs,2025-03-21T15:50:39Z,2023-02-09T11:23:20Z,1526
autogen,https://github.com/microsoft/autogen,41939,6259,Python,microsoft,A programming framework for agentic AI 🤖 PyPi: autogen-agentchat Discord: https://aka.ms/autogen-discord Office Hour: https://aka.ms/autogen-officehour,2025-03-21T20:16:56Z,2023-08-18T11:43:45Z,471
ChatGLM-6B,https://github.com/THUDM/ChatGLM-6B,41011,5225,Python,THUDM,ChatGLM-6B: An Open Bilingual Dialogue Language Model | 开源双语对话语言模型,2024-06-27T04:05:25Z,2023-03-13T12:00:18Z,556
markitdown,https://github.com/microsoft/markitdown,40838,1926,Python,microsoft,Python tool for converting files and office documents to Markdown.,2025-03-21T16:28:39Z,2024-11-13T19:56:40Z,153
OpenManus,https://github.com/mannaandpoem/OpenManus,38548,6337,Python,mannaandpoem,"No fortress, purely open ground.  OpenManus is Coming.",2025-03-21T10:46:52Z,2025-03-06T14:08:14Z,393
WeChatMsg,https://github.com/LC044/WeChatMsg,38191,3928,Python,LC044,提取微信聊天记录，将其导出成HTML、Word、Excel文档永久保存，对聊天记录进行分析生成年度聊天报告，用聊天数据训练专属于个人的AI聊天助手,2025-03-11T09:59:23Z,2023-01-11T05:03:49Z,60
FastChat,https://github.com/lm-sys/FastChat,38160,4668,Python,lm-sys,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",2025-03-01T06:43:01Z,2023-03-19T00:18:02Z,804
